Group Number,Subhalo ID,Mass at z=0,Max Mass,Max Mass Snap,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Flag
7437,733315,23.355841636657715,23.355841636657715,135,12011.513671875,26778.728515625,1706.7484130859375,-337.554931640625,-38.48495101928711,58.460208892822266,0
8528,746452,19.928613846952267,19.928613846952267,135,4030.854248046875,18986.419921875,60106.5703125,191.6144561767578,96.9813461303711,66.97600555419922,0
9214,753872,17.846104773608122,31.682120128111407,101,41802.88671875,202.01870727539062,71071.953125,-373.84197998046875,-136.68304443359375,-108.41968536376953,0
9628,758261,17.45276694948023,17.45276694948023,135,28660.5703125,3924.725830078125,73031.203125,-25.281919479370117,-188.5831756591797,184.94711303710938,0
10453,766332,15.56504720991308,21.54784310947765,97,11114.7392578125,14412.98046875,38047.0703125,-94.05390167236328,-15.682341575622559,-90.15353393554688,0
10560,767369,15.12583141977137,25.592527606270533,95,12084.31640625,50081.5625,46423.37109375,-82.07794189453125,-262.1581115722656,430.2528076171875,0
10650,768252,15.670337460257791,15.670337460257791,135,21679.861328125,1570.5941162109375,5046.65234375,-123.06295776367188,-4.414581298828125,103.6590347290039,0
11403,775039,14.253418553959241,25.159331885251135,93,57027.43359375,7880.80712890625,35992.8046875,259.9839172363281,-245.0571746826172,260.1750793457031,0
12094,781139,13.524654236706821,13.780360872095283,129,71207.9375,36052.921875,2056.4326171875,129.13613891601562,-226.2442169189453,48.8438835144043,0
12264,782510,13.440420681780036,13.440420681780036,135,69884.7421875,17961.46875,71571.6015625,103.12517547607422,118.95240020751953,60.476226806640625,0
12270,782560,13.150869445367293,21.683969280936502,99,38406.03125,70456.984375,37049.80078125,45.05118942260742,37.169105529785156,418.84063720703125,0
12358,783312,13.353179801594129,13.384014368057251,133,4069.192626953125,28494.150390625,8455.345703125,-183.58970642089844,44.182315826416016,227.17901611328125,0
12366,783379,13.368973677808588,13.368973677808588,135,58179.03515625,63524.3125,44832.109375,99.68603515625,186.71481323242188,32.25847625732422,0
12383,783506,12.793631716208026,23.43029867519032,93,24270.96484375,36235.30078125,42205.24609375,-183.1418914794922,-374.9881286621094,150.79029846191406,0
12384,783507,13.078670610081067,14.51664756644856,118,4054.89453125,27098.515625,10356.8251953125,-380.77459716796875,-11.527130126953125,494.4894714355469,0
12464,784197,13.268194415352562,13.311815532771025,134,5680.9013671875,73161.7734375,22318.640625,112.43256378173828,237.18556213378906,154.7640838623047,0
12755,786477,12.940287590026855,12.940287590026855,135,28809.837890625,35127.3046875,12046.9091796875,-34.8244514465332,32.3687744140625,-91.50505065917969,0
13075,789021,12.555222619663587,12.60937208479101,134,72162.5546875,34770.87890625,24144.970703125,230.90811157226562,-249.33827209472656,-195.4490509033203,0
13219,790119,12.341632084413009,12.341632084413009,135,35322.94140625,68575.21875,49139.66796875,47.48223114013672,-150.0904083251953,-289.2041015625,0
13718,793834,11.525625532323664,12.458203868432479,123,55238.14453125,34220.20703125,24698.16796875,49.91887664794922,-79.11522674560547,78.82758331298828,0
13782,794324,11.83849031274969,11.83849031274969,135,48653.78515625,14920.427734375,26733.2578125,178.7321319580078,-29.805885314941406,160.58831787109375,0
13855,794809,11.780580336397344,11.790356852791527,134,51105.10546875,57181.72265625,45395.640625,-22.869279861450195,207.43629455566406,13.70871639251709,0
13898,795105,11.694091287526218,11.704619635235181,134,68303.8359375,34051.31640625,21627.88671875,205.05625915527344,-335.93109130859375,-32.78662109375,0
13940,795404,11.690330776301298,11.690330776301298,135,41410.17578125,40617.078125,10106.0703125,-115.08644104003906,-79.18785858154297,-61.27385711669922,0
14017,795964,11.60308989611539,11.628660288724033,134,33544.86328125,65706.0234375,34751.71484375,127.55020141601562,-68.25239562988281,167.45492553710938,0
14366,798467,11.002929373220965,25.841466405174952,69,67319.84375,57486.15234375,53786.94921875,686.7261352539062,255.66876220703125,-2.7670445442199707,0
14367,798468,11.322563344782049,11.516600847244263,131,60838.58984375,26887.509765625,65485.97265625,122.87394714355469,66.26348876953125,119.54361724853516,0
14603,800127,10.8397284691984,11.028500443155115,130,15028.6376953125,63775.390625,72936.0,-77.7396469116211,17.00804328918457,-231.1431121826172,0
14656,800509,9.15431705388156,10.524606840177016,116,18510.21484375,54636.03125,65078.375,-272.8501892089844,17.10118293762207,-521.5762939453125,0
14668,800588,10.922457006844608,10.922457006844608,135,65314.85546875,27584.783203125,21113.927734375,129.4549560546875,-417.7713623046875,25.794626235961914,0
14678,800666,11.037525128234517,11.037525128234517,135,48796.28125,70791.9765625,43841.3046875,-29.470531463623047,-199.96688842773438,-39.42619323730469,0
14787,801370,10.957804593172941,10.957804593172941,135,10744.0,55248.07421875,50913.796875,92.93405151367188,-589.0704956054688,-164.57713317871094,0
14789,801379,10.556946423920719,27.178664099086415,87,52053.1640625,71203.109375,42925.1015625,46.07356643676758,-304.6307678222656,-241.62252807617188,0
14792,801389,10.82543893293901,14.854330908168446,83,20181.6953125,66160.75,441.02093505859375,-546.27587890625,392.4606018066406,-93.68045806884766,0
14841,801773,10.932986031879079,10.94201139428399,133,56873.4921875,70535.359375,48381.609375,25.860809326171875,-35.87080001831055,-327.1256103515625,0
14908,802244,10.658476840366017,10.658476840366017,135,53980.74609375,3715.549560546875,35205.23828125,352.78277587890625,154.7583770751953,242.05584716796875,0
14942,802474,10.791595009240238,10.791595009240238,135,24110.08984375,16150.2421875,45953.6328125,-230.9669189453125,197.54844665527344,-146.27163696289062,0
14995,802857,10.796107351779938,10.796107351779938,135,56072.15234375,5564.5693359375,51123.37109375,16.463191986083984,-86.58003234863281,-215.87277221679688,0
15077,803423,10.743462226607583,10.82167842171409,134,59342.4375,12979.5966796875,64775.54296875,39.0545768737793,-49.16389846801758,-46.596405029296875,0
15095,803569,10.68329540165988,11.360919611020522,109,51248.5,71705.8828125,65123.109375,-148.7841796875,-6.954084396362305,-127.7414779663086,0
15280,804819,10.589286007664422,10.589286007664422,135,30624.46875,23909.01953125,8832.2548828125,-154.20083618164062,39.77913284301758,-1.0756796598434448,0
15304,804983,10.560706935145639,10.560706935145639,135,14938.953125,35065.44921875,31616.7734375,173.33311462402344,42.22946548461914,-60.77776336669922,0
15315,805057,10.523855008862236,10.533631525256418,134,30971.5,43101.9609375,53526.95703125,-598.82763671875,-175.45863342285156,-74.770751953125,0
15319,805090,10.55920259519057,10.565219277685339,134,1204.17529296875,30934.75,958.9356079101562,121.11817932128906,68.30108642578125,274.8908386230469,0
15622,807042,10.243329134854404,10.31477681615136,129,10641.736328125,51018.49609375,69400.96875,278.98358154296875,-18.527088165283203,-59.38037872314453,0
15685,807451,10.263635353608565,10.274916209957818,134,42921.67578125,61723.0,24157.244140625,144.0938720703125,63.89741134643555,245.76988220214844,0
15776,808045,9.67776504429904,12.698869813572278,105,21368.39453125,49480.109375,49467.92578125,-604.4850463867188,-377.6644592285156,491.10333251953125,0
15877,808730,10.111714628609745,10.111714628609745,135,25837.4296875,2276.331787109375,38065.64453125,49.93226623535156,47.43912124633789,-71.64625549316406,0
15976,809335,9.927454997192731,10.047036138447849,132,6913.166015625,49464.3359375,24683.583984375,-146.43319702148438,-327.77484130859375,272.3717041015625,0
15978,809341,9.921438992023468,9.954530407081952,130,18002.900390625,12770.84375,70140.6171875,72.53459167480469,64.74292755126953,99.79229736328125,0
15984,809375,9.985365650870584,9.985365650870584,135,1919.2237548828125,24738.896484375,57295.28125,167.66986083984375,130.2349090576172,92.94285583496094,0
16032,809681,10.013192214749077,10.086144236001102,134,2137.805419921875,2626.718017578125,43308.13671875,-220.8206024169922,87.54012298583984,-291.5176086425781,0
16064,809875,10.007175532254307,10.007175532254307,135,58184.50390625,45777.89453125,23219.607421875,9.276379585266113,-50.42072677612305,279.04931640625,0
16084,809991,9.905645115809008,16.199049624529753,86,56580.1015625,44410.75390625,62166.3515625,-35.22221374511719,172.5617218017578,53.733421325683594,0
16091,810036,9.786063974553889,9.953777898441663,126,48354.4375,11165.74609375,246.23681640625,-34.86231231689453,-121.44194793701172,41.12504196166992,0
16148,810373,9.891355579549616,9.897372262044387,99,23052.169921875,27082.76171875,55858.62109375,20.774673461914062,-122.60562133789062,-250.837890625,0
16184,810620,9.81088321317326,9.81614738702774,134,15919.2626953125,15067.580078125,71017.375,-37.590736389160156,-29.11338996887207,68.51380157470703,0
16236,810945,9.455149146643553,9.631887755610727,125,19999.20703125,53697.84375,53902.5390625,-350.9421691894531,-139.43936157226562,47.870792388916016,0
16239,810962,9.644672951915048,9.644672951915048,135,50072.88671875,67298.7578125,23744.900390625,-95.61184692382812,-98.14159393310547,419.6138610839844,0
16370,811792,9.749964556910776,9.749964556910776,135,53868.0546875,57578.54296875,39299.59765625,-31.429824829101562,157.795166015625,99.93879699707031,0
16469,812392,9.497265924106944,20.027137615463953,101,41987.3359375,68044.96875,44396.17578125,-238.10086059570312,-239.4925537109375,-317.50604248046875,0
16679,813771,9.375428611581976,16.82402870871804,91,3075.108642578125,16318.7109375,24167.931640625,-315.8442687988281,591.2564697265625,-254.07321166992188,0
16708,813961,8.956520394845443,11.216520585797051,98,25764.103515625,18159.20703125,30225.138671875,-391.07305908203125,-291.1495056152344,-94.90815734863281,0
16748,814223,9.487488730387255,9.487488730387255,135,41688.97265625,20895.130859375,48764.4296875,-348.27130126953125,-58.39323043823242,-159.2823486328125,0
16794,814506,9.415289217775518,10.362909598784015,126,8253.6015625,21413.806640625,64536.1796875,237.7560272216797,-156.7976837158203,133.67919921875,0
16812,814618,9.492752904241735,9.492752904241735,135,3639.905029296875,25445.724609375,70385.703125,121.51500701904297,143.46302795410156,51.6810188293457,0
16855,814901,9.503281929276207,9.503281929276207,135,59725.26953125,50544.29296875,57939.42578125,259.2227783203125,-56.182228088378906,-245.13108825683594,0
16876,815040,9.459661489183253,9.467934342947874,134,11988.5146484375,22312.59765625,6549.87158203125,-104.572998046875,-14.588454246520996,93.17123413085938,0
16877,815041,9.467934342947874,9.467934342947874,135,33146.6953125,7953.16943359375,36437.90234375,61.672245025634766,-168.88014221191406,-36.96664047241211,0
16885,815082,9.471694854172794,9.471694854172794,135,17601.1640625,47301.7734375,47058.8125,93.77532958984375,228.61538696289062,743.3718872070312,0
16980,815658,9.385205805301666,9.385205805301666,135,2045.6044921875,26324.537109375,14663.9423828125,-511.0945739746094,-100.40038299560547,381.1332702636719,0
17009,815851,9.41228053786538,9.41228053786538,135,23034.3046875,60940.1796875,9335.2431640625,-109.92583465576172,134.1811981201172,-188.28994750976562,0
17063,816172,9.090390395034444,9.78380780328404,123,67522.59375,23129.794921875,24719.93359375,265.426513671875,-422.33636474609375,-159.82861328125,0
17065,816181,8.89936224980788,10.996912690726194,88,51969.14453125,10213.1025390625,13696.9921875,41.56263732910156,173.51821899414062,110.2244873046875,0
17074,816242,9.17236710136587,9.336320514028722,106,9931.5107421875,18536.900390625,64118.40625,-57.0809440612793,47.10111618041992,42.8564453125,0
17075,816243,9.307741441509942,12.628926472230392,99,10526.2109375,38424.3359375,27281.875,-249.5755157470703,-36.42594909667969,-33.60797882080078,0
17104,816420,9.346097707748413,9.450636804103851,133,71460.5703125,27384.44921875,52413.609375,226.74070739746094,-18.03740119934082,51.4906120300293,0
17179,816894,9.221252392638814,9.221252392638814,135,64043.6796875,3159.124755859375,39474.72265625,-200.348388671875,13.10608196258545,-53.795841217041016,0
17205,817058,9.29646058516069,9.319774806499481,134,35526.06640625,28666.25,66671.765625,-14.208209037780762,143.40447998046875,-23.871978759765625,0
17233,817224,9.255848147652367,9.268633343956688,134,31464.8515625,73005.71875,69496.9609375,-69.59749603271484,289.02911376953125,110.95323944091797,0
17249,817330,9.268633343956688,9.268633343956688,135,58750.25,13286.47265625,70016.34375,31.135269165039062,30.38375473022461,17.740001678466797,0
17250,817331,8.947495032440532,8.947495032440532,135,30166.759765625,2142.917236328125,37749.36328125,143.48379516601562,13.878374099731445,-56.55280685424805,0
17277,817481,9.02721556750211,9.064067493785512,133,40786.09765625,39634.90234375,8048.92236328125,-77.46675872802734,-97.87137603759766,-97.8528823852539,0
17306,817658,9.236293760212986,9.236293760212986,135,42856.515625,27030.23828125,11356.546875,35.45498275756836,-18.63648796081543,-60.567298889160156,0
17424,818447,9.128746661272917,9.15431705388156,134,20200.0703125,41460.0,42725.71484375,42.494163513183594,38.380252838134766,336.2430725097656,0
17462,818674,8.976826613599604,10.149319063533436,100,29785.19921875,41621.8046875,52603.05078125,-4.112452983856201,33.362335205078125,-3.3777670860290527,0
17494,818850,9.056546471335672,9.67174836180427,120,21118.462890625,48880.6328125,50335.71484375,-723.6865234375,-452.66400146484375,202.2554931640625,0
17553,819227,9.089638563719664,9.107687933878466,133,61615.6796875,10287.234375,802.2532348632812,83.0419921875,101.76905822753906,34.60222244262695,0
17595,819504,8.880560371008787,11.951302940195257,100,13810.1328125,48482.69140625,47672.625,199.5959014892578,-49.169857025146484,-181.37045288085938,0
17610,819608,8.78955830227245,13.405072418126194,106,13821.197265625,7022.83935546875,18460.076171875,-33.4476432800293,222.5152130126953,-44.9475212097168,0
17714,820296,8.955767886205154,9.498017755421726,72,69017.4609375,17057.775390625,27233.10546875,211.15333557128906,-219.10842895507812,-198.89707946777344,0
17771,820658,8.91966846856204,8.952007374980234,134,19592.619140625,34873.62109375,35849.37109375,75.4756088256836,-120.94072723388672,134.682861328125,0
17815,820909,8.886576376178049,11.58804785121571,90,22703.90234375,32722.94140625,38472.48046875,-54.32012176513672,30.65694236755371,555.6277465820312,0
17923,821595,8.815129372206602,8.815129372206602,135,51741.17578125,66855.3515625,43982.96875,-194.86805725097656,396.8045959472656,-132.90512084960938,0
17925,821600,8.674490180882541,8.78880647095767,132,51824.2421875,63411.828125,31687.982421875,-205.58534240722656,103.15789794921875,103.52714538574219,0
18030,822217,8.826410228555853,8.897106078538028,134,30026.333984375,34413.33984375,20075.80078125,-134.16392517089844,16.99999237060547,9.281996726989746,0
18058,822385,8.806104009801691,8.821146054701373,133,15467.212890625,17232.197265625,659.8539428710938,45.583961486816406,124.42674255371094,42.86725997924805,0
18083,822499,8.52557813579386,9.859767827120695,89,62732.8203125,37006.98046875,472.921630859375,272.4876403808594,-333.8111877441406,-58.198001861572266,0
18106,822641,8.599281988360666,12.662017887288874,94,6106.0263671875,29172.0078125,6300.81298828125,-258.14013671875,-155.07110595703125,-22.989778518676758,0
18121,822716,8.681258694692092,18.913306973197244,94,38000.078125,70209.765625,36757.3984375,99.39434814453125,-101.89817810058594,518.536376953125,0
18122,822717,8.330789479342375,8.330789479342375,135,17599.658203125,34822.0078125,32420.5546875,-8.616911888122559,-190.38572692871094,61.40884780883789,0
18146,822838,8.257085626775568,8.257838135415858,134,19886.47265625,55683.11328125,60471.02734375,-64.2229232788086,-454.0509948730469,-105.94384765625,0
18176,823013,8.741425519639796,8.741425519639796,135,62279.73046875,29014.611328125,43343.41796875,47.19049072265625,-57.660682678222656,-89.23255157470703,0
18179,823025,8.740673010999506,8.740673010999506,135,59654.02734375,402.87689208984375,48904.25,11.85946273803711,-137.59181213378906,-281.34893798828125,0
18188,823069,8.67223400961269,8.67223400961269,135,19818.634765625,3217.98046875,7495.05419921875,-32.57262420654297,-214.97787475585938,41.20936584472656,0
18203,823146,8.724879812110554,8.724879812110554,135,12026.3251953125,25976.875,71877.265625,-172.98280334472656,68.72962951660156,87.70741271972656,0
18305,823786,8.4037415005944,10.599062524058603,108,13727.029296875,58533.73828125,69717.1015625,458.6134338378906,-184.02577209472656,326.4830322265625,0
18337,823974,8.607554842125285,8.607554842125285,135,62188.1171875,62753.546875,20329.09765625,172.490478515625,27.940670013427734,243.7792205810547,0
18427,824511,8.597025817090815,8.597025817090815,135,10143.380859375,22082.775390625,63706.7578125,39.579833984375,-140.09788513183594,8.271485328674316,0
18456,824686,8.500759574499998,8.566942404616963,132,37884.859375,73141.34375,47778.9296875,-70.72852325439453,-156.1143341064453,-306.4066467285156,0
18457,824687,8.556413379582493,8.556413379582493,135,31748.033203125,72506.875,23107.3984375,-135.02439880371094,48.47221374511719,130.5067901611328,0
18476,824807,8.589504794640975,8.606051179495726,133,23237.009765625,12647.60546875,15972.62890625,-305.322509765625,-83.78359985351562,11.499812126159668,0
18524,825073,8.191654627973383,10.320792821320621,100,24917.509765625,33619.6015625,42352.296875,-106.98833465576172,789.2136840820312,108.31017303466797,0
18572,825382,8.190150965343822,10.724660347808491,62,23161.294921875,42363.28515625,47541.16796875,-239.85690307617188,213.4150390625,177.3577880859375,0
18632,825714,8.506024425679987,9.455149146643553,111,29554.85546875,44114.3984375,21403.451171875,-97.78885650634766,37.409854888916016,78.25557708740234,0
18633,825715,8.506024425679987,8.506024425679987,135,22348.60546875,45891.87109375,11247.853515625,-19.407079696655273,-99.26558685302734,-146.4845428466797,0
18643,825772,8.39396430687471,8.422543379393492,134,25599.26171875,73886.765625,71140.09375,215.04283142089844,-52.53858947753906,128.06439208984375,0
18705,826137,8.327028968117455,8.327028968117455,135,61534.8203125,67674.546875,27748.58984375,-308.6519470214844,35.517948150634766,384.8934631347656,0
18792,826635,7.356093688444658,22.04346385869113,68,24536.134765625,33521.96875,40847.12109375,-803.1651611328125,325.87725830078125,280.1769714355469,0
18845,826922,8.368393914266067,9.332560002803802,99,15916.1611328125,51803.57421875,48699.70703125,-79.59815979003906,-914.7257080078125,-76.90269470214844,0
18876,827072,7.977312261408026,27.031256393952805,98,68076.0546875,57472.7109375,53645.0078125,99.06756591796875,252.83047485351562,368.16717529296875,0
18896,827188,8.357112380591307,8.357112380591307,135,39545.4453125,47281.40625,54372.76953125,-169.11236572265625,-88.66605377197266,-250.24928283691406,0
18898,827192,8.27513567425988,8.78203727982261,89,15203.849609375,51673.03125,49116.7578125,-113.44352722167969,-931.0694580078125,-138.0704803466797,0
18951,827473,8.341318504376845,8.341318504376845,135,19623.48828125,73237.859375,32769.19140625,52.9996223449707,63.81219482421875,-16.145151138305664,0
18968,827570,8.199927481738005,8.199927481738005,135,3422.26953125,49418.48828125,57796.36328125,-90.52507781982422,258.98974609375,-377.263671875,0
19000,827747,8.28265669670972,8.28265669670972,135,52392.6796875,29126.392578125,1547.555419921875,188.69830322265625,212.11810302734375,81.365966796875,0
19028,827888,8.247308433055878,8.247308433055878,135,779.8025512695312,24747.849609375,15831.783203125,-199.38868713378906,562.3923950195312,866.539306640625,0
19065,828114,8.291681381789122,8.354104378006676,134,32630.8984375,26945.76953125,26388.16796875,-232.7750244140625,-48.0313835144043,155.8068084716797,0
19083,828211,8.285664699294351,8.285664699294351,135,6775.20263671875,10496.291015625,43321.8125,115.3895263671875,-33.21675491333008,-308.3317565917969,0
19114,828375,8.213465186682615,8.213465186682615,135,66847.2265625,10067.623046875,36250.07421875,-88.26476287841797,-166.56655883789062,-386.6678771972656,0
19125,828426,8.167588575319812,8.209704675457695,132,43875.83984375,13.462261199951172,862.9620971679688,-187.03260803222656,86.79940032958984,-239.43072509765625,0
19139,828509,8.241291750561107,8.766995912248438,94,74898.0703125,28852.59375,10070.7646484375,143.71571350097656,-133.0746307373047,257.9078063964844,0
19217,828961,8.204440501603214,8.204440501603214,135,57965.26953125,47229.765625,53921.10546875,123.74783325195312,270.1731262207031,113.8986587524414,0
19223,828992,8.219481869177386,8.219481869177386,135,9943.6748046875,67987.4921875,74145.0859375,363.4945983886719,-132.9875030517578,-51.103118896484375,0
19227,829010,8.1630755554546,8.1630755554546,135,74348.1875,32549.470703125,8846.37109375,252.54165649414062,-412.87738037109375,136.31378173828125,0
19233,829037,8.196919479153374,8.196919479153374,135,32162.76953125,40191.71875,36393.5859375,-151.3806915283203,11.989940643310547,369.41412353515625,0
19241,829061,8.213465186682615,8.213465186682615,135,44192.9296875,21901.591796875,59710.77734375,-166.57192993164062,-69.7623062133789,-85.35176849365234,0
19249,829101,8.204440501603214,8.204440501603214,135,55312.1875,53198.875,39627.0,84.08560943603516,147.7593231201172,132.63975524902344,0
19320,829525,8.067561821504073,9.146044200116938,75,66041.3125,15468.958984375,30526.04296875,117.77630615234375,75.4716796875,-237.81800842285156,0
19353,829718,8.14878601919521,8.1630755554546,134,51339.4296875,17546.9453125,64577.1796875,-99.43964385986328,-32.04155731201172,-70.93871307373047,0
19368,829806,8.03296606649052,14.63021067055789,102,39025.30859375,67372.90625,42560.73046875,48.38521194458008,230.8149871826172,226.65892028808594,0
19405,830017,8.120206946676428,8.120206946676428,135,22542.244140625,58184.61328125,62044.26171875,-125.61803436279297,-264.77398681640625,-100.61320495605469,0
19411,830054,8.02845372395082,8.02845372395082,135,6607.4453125,28855.509765625,5790.078125,146.41709899902344,249.03419494628906,-216.90386962890625,0
19459,830333,8.068313652818853,8.068313652818853,135,3924.635498046875,1854.4423828125,16194.48046875,191.56585693359375,109.6148452758789,143.18389892578125,0
19507,830580,8.066809312863784,8.066809312863784,135,41012.0859375,1616.8533935546875,66849.109375,-221.8632049560547,-2.2363884449005127,233.8345184326172,0
19523,830659,8.072825995358555,8.108174259012396,134,37329.11328125,59744.4609375,37065.85546875,-14.316141128540039,210.1986083984375,224.872802734375,0
19600,831087,8.03221355785023,8.03221355785023,135,32359.154296875,71909.890625,68451.4375,-225.81573486328125,202.80999755859375,230.17674255371094,0
19627,831239,8.008147505196659,8.008147505196659,135,43847.90625,56440.89453125,36121.32421875,-85.95832824707031,175.30426025390625,79.14288330078125,0
19659,831416,8.01491601900621,8.02694938399575,134,65552.953125,33692.1796875,47905.8671875,136.13681030273438,41.88729476928711,-24.997859954833984,0
19675,831518,7.858483628793197,8.092380382797936,101,25465.01953125,52759.5078125,40885.41015625,-200.02230834960938,-18.312440872192383,443.52276611328125,0
19745,831901,7.838177410039036,11.403036388483915,103,55077.1015625,7727.75439453125,34591.02734375,88.83485412597656,-493.1845397949219,263.3001708984375,0
19752,831935,7.894583046436311,8.063801310279153,88,63889.296875,49358.9921875,26304.70703125,-18.991994857788086,25.907934188842773,48.88512420654297,0
19826,832334,7.799821143800562,8.039734580300072,113,25705.431640625,41670.4453125,52977.72265625,-266.66497802734375,193.22242736816406,-290.44598388671875,0
20177,834262,7.470409978519787,9.240054271437906,102,10669.39453125,23788.541015625,25898.966796875,-310.88824462890625,-245.443115234375,125.92793273925781,0
20833,837706,7.433558052236384,13.450950384140015,78,34431.02734375,74331.296875,70749.703125,-2.2362654209136963,-153.47691345214844,7.417357444763184,0
20953,838355,7.207934151996266,20.76342295516621,77,40519.34375,37585.48046875,56638.6171875,-385.8954162597656,13.325226783752441,-219.47508239746094,0
